#Org,Prog,Econ,CÓDIGO PARTIDA,Denominación ,Vinc.Org.,Vinc.Func,Vinc.Eco.,CRÉDITO INICIAL,MODIFICACIONES DE CRÉDITO,CRÉDITO TOTAL,TOTAL O
1.0,234,22200,234/22200,REMTeléfono Hogar 3ª Edad,1.0,234,2,0.0,131.34,131.34,0.0
1.0,234,22601,234/22601,REM Actividades Tercera Edad. Comida Tradicional  y ot,1.0,234,2,0.0,223.0,223.0,203.01
1.0,234,22601,234/22601,Actividades Tercera Edad. Comida Tradicional  y ot,1.0,234,2,35000.0,9100.0,44100.0,44716.16
1.0,234,22700,234/22700,Contrato Limpieza,1.0,234,2,16000.0,1500.0,17500.0,8892.48
1.0,234,22701,234/22701,Contratos de Seguridad,1.0,234,2,0.0,0.0,0.0,91.2
1.0,234,22718,234/22718,Contrato de Servicios de Podólogo,1.0,234,2,5000.0,0.0,5000.0,2597.4
1.0,234,22719,234/22719,Otros Contratos Gestión Servicios,1.0,234,2,14000.0,0.0,14000.0,9506.07
1.0,241,10000,241/10000,RetribucionesOrganos de Gobierno Empleo y Desarrollo,1.0,241,1,20000.0,-2349.98,17650.02,13089.14
1.0,241,13102,241/13102,Retribuciones Programa 525 -PROGRAMA CAM REACTIVACIÓN MAYORES,1.0,241,1,0.0,33067.8,33067.8,32833.33
1.0,241,13103,241/13103,Retribuciones Programa 526 -PROGRAMA CAM JÓVENES ACTIVACIÓN,1.0,241,1,0.0,0.0,0.0,5804.35
1.0,241,13104,241/13104,Retribuciones Programa 526 -PROGRAMA CAM JÓVENES ACTIVACIÓN   2019,1.0,241,1,0.0,28959.97,28959.97,0.0
1.0,241,13105,241/13105,Retribuciones Programa REACTIVACION 2019,1.0,241,1,0.0,110771.82,110771.82,0.0
1.0,241,14300,241/14300,Retrib Complemento Programa Desesmpleados,1.0,241,1,6000.0,0.0,6000.0,0.0
1.0,241,16000,241/16000,Seguridad Social Empresa,1.0,241,1,6510.0,-1264.92,5245.08,4438.16
1.0,241,16002,241/16002,Seguridad Social Empresa 525 -PROGRAMA CAM REACTIVACIÓN MAYORES,1.0,241,1,0.0,0.0,0.0,10562.99
1.0,241,16003,241/16003,Seguridad Social Empresa 526 -PROGRAMA CAM JÓVENES ACTIVACIÓN,1.0,241,1,0.0,0.0,0.0,1735.82
1.0,241,16004,241/16004,Seguridad Social Empresa 526 -PROGRAMA CAM JÓVENES ACTIVACIÓN,1.0,241,1,0.0,8840.03,8840.03,0.0
1.0,241,16005,241/16005,Seguridad Social Programa REACTIVACIÓN,1.0,241,1,0.0,40428.18,40428.18,0.0
1.0,241,22199,241/22199,Suministros varios Empleo y Desarrollo,1.0,241,2,0.0,0.0,0.0,32.67
1.0,241,22200,241/22200,Teléfono Servicios de Empleo,1.0,241,2,0.0,0.0,0.0,528.46
1.0,241,22706,241/22706,Contratos de servicios de Formación,1.0,241,2,47000.0,0.0,47000.0,23790.0
1.0,241,22706,241/22706,Contratos de servicios de Formación,1.0,241,2,0.0,4950.0,4950.0,3438.81
1.0,241,22718,241/22718,Contratos de servicios de Formación Programas Empleo,1.0,241,2,0.0,10800.0,10800.0,0.0
1.0,241,23120,241/23120,Gastos Locomocion Personal,1.0,241,2,0.0,0.0,0.0,55.86
1.0,241,48900,241/48900,REMSubvenciones sin animo lucro Empleo,1.0,241,4,0.0,30000.0,30000.0,0.0
1.0,241,48900,241/48900,Subvenciones sin animo lucro Empleo,1.0,241,4,30000.0,0.0,30000.0,0.0
1.0,312,21300,312/21300,"Reparación Maquinaria, Instalaciones y Utillaje",1.0,312,2,1000.0,0.0,1000.0,118.86
1.0,312,22720,312/22720,Contratos de Servicios de Educación en la Salud,1.0,312,2,1000.0,0.0,1000.0,0.0
1.0,320,10000,320/10000,Retribuciones Altos Cargos,1.0,320,1,20000.0,1250.02,21250.02,14710.37
1.0,320,13000,320/13000,Retribuciones Personal Fijo Educación,1.0,320,1,121300.0,6335.0,127635.0,88942.92
1.0,320,13100,320/13100,Retribuciones Personal Laboral Temporal,1.0,320,1,0.0,0.0,0.0,162.14
1.0,320,16000,320/16000,Seguros sociales Personal Educación,1.0,320,1,47510.0,859.9,48369.9,29022.68
1.0,320,21200,320/21200,REM Reparación y mantenimiento Edificios Educación,1.0,320,2,0.0,400.06,400.06,0.0
1.0,320,21200,320/21200,Reparación y mantenimiento Edificios Educación,1.0,320,2,28000.0,-9288.02,18711.98,9170.1
1.0,320,21300,320/21300,REM Reparacion y Manten de Maquinaria e Instalac,1.0,320,2,0.0,650.47,650.47,650.47
1.0,320,21300,320/21300,Reparacion y Manten de Maquinaria e Instalac,1.0,320,2,12000.0,0.0,12000.0,8763.8
1.0,320,21500,320/21500,Reparación mobiliario y enseres,1.0,320,2,1000.0,0.0,1000.0,0.0
1.0,320,22001,320/22001,Adquisicion de Libros y Material didactico digital,1.0,320,2,10000.0,-4379.6,5620.4,0.0
1.0,320,22100,320/22100,Suministro Electrico Educacion,1.0,320,2,26320.0,0.0,26320.0,10170.57
1.0,320,22101,320/22101,Suminsitro Agua Educacion,1.0,320,2,7520.0,0.0,7520.0,7302.35
1.0,320,22103,320/22103,Combustibles y Carburantes,1.0,320,2,56400.0,0.0,56400.0,29537.16
1.0,320,22103,320/22103,REM Combustibles y Carburantes,1.0,320,2,0.0,4482.72,4482.72,0.0
1.0,320,22103,320/22103,REMCombustibles y Carburantes,1.0,320,2,0.0,3889.19,3889.19,0.0
1.0,320,22104,320/22104,REM Vestuario Personal Educación,1.0,320,2,0.0,1158.03,1158.03,1158.03
1.0,320,22104,320/22104,Vestuario Personal Educación,1.0,320,2,1000.0,0.0,1000.0,0.0
1.0,320,22110,320/22110,Productos limpieza y aseo,1.0,320,2,5000.0,0.0,5000.0,2746.29
1.0,320,22199,320/22199,REM Suministros Varios Educacion,1.0,320,2,0.0,72.8,72.8,26.4
1.0,320,22199,320/22199,Suministros Varios Educacion,1.0,320,2,1000.0,0.0,1000.0,1040.52
1.0,320,22200,320/22200,Comunicaciones Telefónicas Educación,1.0,320,2,2000.0,0.0,2000.0,282.49
1.0,320,22609,320/22609,Actividades  Educativas,1.0,320,2,5000.0,0.0,5000.0,2548.0
1.0,320,22700,320/22700,Contrato de Servicio de Limpieza Educacion,1.0,320,2,70235.0,0.0,70235.0,22880.77
1.0,320,22701,320/22701,Contratos de Seguridad Educacion,1.0,320,2,0.0,0.0,0.0,638.38
1.0,320,22706,320/22706,Contrato Prestación Servicios Casa de Niños,1.0,320,2,121000.0,0.0,121000.0,76413.82
1.0,320,48900,320/48900,Subvenciones Colegio Publico y AMPAS,1.0,320,4,6500.0,0.0,6500.0,0.0
1.0,320,48900,320/48900,REM Subvenciones Colegio Publico y AMPAS,1.0,320,4,0.0,3000.0,3000.0,2664.74
1.0,320,48901,320/48901,Subvenciones AMPAS  Monitor/a Infantil,1.0,320,4,15000.0,0.0,15000.0,2130.0
1.0,320,48902,320/48902,Subvenciones Ahorro energético,1.0,320,4,10000.0,0.0,10000.0,0.0
1.0,320,62200,320/62200,REM PRES Inversiones en Edificios Educativos,1.0,320,6,0.0,70553.11,70553.11,23367.69
1.0,320,62201,320/62201,Inversiones reposicion de Patios de Colegios. Presto Partici,1.0,320,6,0.0,2500.0,2500.0,2454.84
1.0,320,62201,320/62201,REM Inversiones reposicion de Patios de Colegios. Presto Partici,1.0,320,6,0.0,9465.41,9465.41,6917.55
1.0,320,62300,320/62300,REM Inversiones en Maquinaria y  Utillajes Colegios 50/50,1.0,320,6,0.0,6661.84,6661.84,6661.84
1.0,320,62500,320/62500,REM-Mobiliario Educacion,1.0,320,6,0.0,6437.2,6437.2,6437.2
1.0,320,62600,320/62600,Equipamiento Informatico digital,1.0,320,6,0.0,4379.6,4379.6,4379.6
1.0,332,12000,3321/12000,Retribuciones  Basicas Funcionarios Biblioteca,1.0,332,1,55800.0,0.0,55800.0,315.78
1.0,332,12001,3321/12001,Retribuciones  Basicas Funcionarios Biblioteca A2,1.0,332,1,0.0,0.0,0.0,15155.49
1.0,332,12003,3321/12003,Retribuciones  Basicas Funcionarios Biblioteca C1,1.0,332,1,0.0,0.0,0.0,19137.24
1.0,332,12006,3321/12006,Retribuciones  Basicas Funcionarios Biblioteca Trienios,1.0,332,1,0.0,0.0,0.0,5489.14
1.0,332,12100,3321/12100,Retribuciones  Complemen Funcionarios.,1.0,332,1,56800.0,0.0,56800.0,18974.39
1.0,332,12101,3321/12101,Retribuciones  Complemen Funcionarios. (Especifico),1.0,332,1,0.0,0.0,0.0,20089.93
1.0,332,12103,3321/12103,Retribuciones  Complemen Funcionarios. (Otros),1.0,332,1,0.0,0.0,0.0,310.02
1.0,332,13000,3321/13000,Retribuciones Personal Fijo Biblioteca,1.0,332,1,11250.0,0.0,11250.0,6129.05
1.0,332,13100,3321/13100,Retribuciones Personal Laboral Temporal,1.0,332,1,0.0,0.0,0.0,3155.24
1.0,332,15100,3321/15100,Gratificaciones Personal Biblioteca,1.0,332,1,0.0,0.0,0.0,568.65
1.0,332,16000,3321/16000,Gastos Sociales Personal Biblioteca,1.0,332,1,34000.0,0.0,34000.0,25832.3
1.0,332,21200,3321/21200,Reparacion Edificio Biblioteca,1.0,332,2,3000.0,0.0,3000.0,0.0
1.0,332,21300,3321/21300,Reparacion maquinaria e instalac  Biblioteca,1.0,332,2,0.0,22.64,22.64,22.64
1.0,332,21300,3321/21300,Reparacion maquinaria e instalac  Biblioteca,1.0,332,2,4000.0,0.0,4000.0,804.73
1.0,332,21600,3321/21600,Reparacion y Mantenimiento de Equipos Infor,1.0,332,2,1500.0,0.0,1500.0,0.0
1.0,332,22000,3321/22000,Material Ordinario no inventar,1.0,332,2,1000.0,0.0,1000.0,24.27
1.0,332,22001,3321/22001,"Prensa, Revistas y Otros",1.0,332,2,16500.0,0.0,16500.0,2594.59
1.0,332,22002,3321/22002,Consumibles Informáticos,1.0,332,2,300.0,0.0,300.0,0.0
1.0,332,22100,3321/22100,Suministro energia Electrica Biblioteca,1.0,332,2,10200.0,0.0,10200.0,7366.89
1.0,332,22101,3321/22101,Suministro de  Agua,1.0,332,2,400.0,0.0,400.0,352.81
1.0,332,22110,3321/22110,Suministros de Productos de Limpieza y Aseo,1.0,332,2,250.0,0.0,250.0,141.84
1.0,332,22199,3321/22199,Suministros  Varios,1.0,332,2,250.0,0.0,250.0,240.41
1.0,332,22200,3321/22200,REMComunicaciones telefónicas Biblioteca,1.0,332,2,0.0,131.34,131.34,0.0
1.0,332,22200,3321/22200,Comunicaciones telefónicas Biblioteca,1.0,332,2,2300.0,0.0,2300.0,661.88
1.0,332,22400,3321/22400,Seguros Biblioteca,1.0,332,2,200.0,0.0,200.0,0.0
1.0,332,22609,3321/22609,Actividades Culturales y Recreativas,1.0,332,2,0.0,1255.0,1255.0,1075.0
1.0,332,22609,3321/22609,Actividades Culturales y Recreativas,1.0,332,2,22000.0,0.0,22000.0,14169.78
1.0,332,22700,3321/22700,Contratos de Limpieza de Biblioteca,1.0,332,2,0.0,617.1,617.1,617.1
1.0,332,22700,3321/22700,Contratos de Limpieza de Biblioteca,1.0,332,2,0.0,0.0,0.0,348.48
1.0,332,22701,3321/22701,Contrato Seguridad,1.0,332,2,0.0,0.0,0.0,91.2
1.0,332,23120,3321/23120,Gastos de Locomoción,1.0,332,2,500.0,0.0,500.0,85.3
1.0,334,10000,334/10000,Retribuciones Altos Cargos,1.0,334,1,20000.0,1250.02,21250.02,14710.37
1.0,334,12000,334/12000,Retribuciones Básicas Funcionarios,1.0,334,1,27764.0,0.0,27764.0,0.0
1.0,334,12003,334/12003,Retribuciones Básicas Funcionarios C1,1.0,334,1,0.0,0.0,0.0,11562.64
1.0,334,12006,334/12006,Retribuciones Básicas Funcionarios Trienios,1.0,334,1,0.0,0.0,0.0,2551.87
1.0,334,12100,334/12100,Retribuciones Complementarias Funcionarios (Destino),1.0,334,1,34608.0,0.0,34608.0,7172.8
1.0,334,12101,334/12101,Retribuciones Complementarias Funcionarios (Específico),1.0,334,1,0.0,0.0,0.0,9260.66
1.0,334,13000,334/13000,Retribuciones Personal Fijo Cultura,1.0,334,1,96000.0,-10000.0,86000.0,72745.74
1.0,334,13100,334/13100,Retribuciones Personal temporal  Cultura,1.0,334,1,0.0,0.0,0.0,13544.08
1.0,334,16000,334/16000,Gastos Sociales Personal de Cultura,1.0,334,1,50300.0,-8593.12,41706.88,37672.22
1.0,334,21200,334/21200,Reparacion Edificio Cultura,1.0,334,2,15000.0,0.0,15000.0,7108.64
1.0,334,21201,334/21201,Mantenimiento Edificio Serv Multiples,1.0,334,2,0.0,0.0,0.0,187.55
1.0,334,21300,334/21300,Reparacion maquinaria e instalac.Cultura,1.0,334,2,45000.0,-22892.74,22107.26,5385.44
1.0,334,21300,334/21300,Reparacion maquinaria e instalac.Cultura,1.0,334,2,0.0,178.98,178.98,178.98
1.0,334,21500,334/21500,Reparacion Mobiliario y Enseres Cultura,1.0,334,2,1000.0,0.0,1000.0,0.0
1.0,334,21500,334/21500,Reparacion Mobiliario y Enseres Cultura,1.0,334,2,0.0,3090.82,3090.82,3090.82
1.0,334,21600,334/21600,Reparacion y Mantenimiento de Equipos Infor,1.0,334,2,1000.0,0.0,1000.0,0.0
1.0,334,22000,334/22000,Material Ordinario no inventar,1.0,334,2,1000.0,0.0,1000.0,32.03
1.0,334,22001,334/22001,"Prensa, Revistas y Otros",1.0,334,2,300.0,0.0,300.0,133.1
1.0,334,22002,334/22002,Consumibles Informáticos,1.0,334,2,1000.0,0.0,1000.0,0.0
1.0,334,22100,334/22100,Suministro energia cultura,1.0,334,2,32000.0,0.0,32000.0,20093.93
1.0,334,22101,334/22101,Suministro de  Agua,1.0,334,2,2000.0,0.0,2000.0,1830.85
1.0,334,22103,334/22103,Suministro combustibles Cultura,1.0,334,2,0.0,7966.51,7966.51,0.0
1.0,334,22103,334/22103,REMSuministro combustibles Cultura,1.0,334,2,0.0,2938.71,2938.71,0.0
1.0,334,22103,334/22103,Suministro combustibles Cultura,1.0,334,2,25000.0,0.0,25000.0,22762.68
1.0,334,22104,334/22104,Vesturario personal cultura,1.0,334,2,500.0,0.0,500.0,0.0
1.0,334,22110,334/22110,Suministros de Productos de Limpieza y Aseo,1.0,334,2,2500.0,0.0,2500.0,694.67
1.0,334,22199,334/22199,Suministros  Varios,1.0,334,2,0.0,741.34,741.34,695.14
1.0,334,22199,334/22199,Suministros  Varios,1.0,334,2,1500.0,0.0,1500.0,1469.29
1.0,334,22200,334/22200,REMComunicaciones telefónicas Cultura,1.0,334,2,0.0,328.35,328.35,0.0
1.0,334,22200,334/22200,Comunicaciones telefónicas Cultura,1.0,334,2,4000.0,0.0,4000.0,1900.02
1.0,334,22400,334/22400,Seguros Cultura,1.0,334,2,600.0,0.0,600.0,0.0
1.0,334,22601,334/22601,Atenciones Protocolarias y Representativas,1.0,334,2,1000.0,0.0,1000.0,0.0
1.0,334,22609,334/22609,Actividades Culturales y Recreativas,1.0,334,2,0.0,28380.03,28380.03,27353.23
1.0,334,22609,334/22609,Actividades Culturales y Recreativas,1.0,334,2,215000.0,0.0,215000.0,145484.56
1.0,334,22700,334/22700,Contrato de Servicio de Limpieza  Casa Cultura,1.0,334,2,15000.0,0.0,15000.0,12905.84
1.0,334,22701,334/22701,Contratos de Seguridad Cultura,1.0,334,2,0.0,0.0,0.0,91.2
1.0,334,22706,334/22706,Contratos de Prestacion de Servicios Talleres,1.0,334,2,0.0,3502.71,3502.71,3502.71
1.0,334,22706,334/22706,Contratos de Prestacion de Servicios Talleres,1.0,334,2,210000.0,-35000.0,175000.0,98015.69
1.0,334,22708,334/22708,Contrato Servicios: Escuela de Música,1.0,334,2,54600.0,0.0,54600.0,36000.0
1.0,334,22718,334/22718,Contrato Servicios Técnicos,1.0,334,2,0.0,0.0,0.0,6117.33
1.0,334,22718,334/22718,Contrato Servicios Técnicos,1.0,334,2,0.0,3267.0,3267.0,3267.0
1.0,334,23020,334/23020,Dietas personal,1.0,334,2,300.0,0.0,300.0,0.0
1.0,334,23120,334/23120,Gastos de Locomoción,1.0,334,2,1100.0,0.0,1100.0,0.0
1.0,334,62201,334/62201,Inversiones resposicion Presupuestos Participativos,1.0,334,6,0.0,4895.66,4895.66,0.0
1.0,334,62300,334/62300,Equipamiento de Instalaciones. y Utillajes Casa de Cultura.,1.0,334,6,0.0,76852.29,76852.29,76852.29
1.0,334,62301,334/62301,Equipamiento de Instalaciones. y Utillajes Plaza de Toros. PIR,1.0,334,6,0.0,2350.0,2350.0,2301.92
1.0,334,62301,334/62301,Equipamiento de Instalaciones. y Utillajes Plaza de Toros. PIR,1.0,334,6,0.0,40539.77,40539.77,40539.77
1.0,334,62302,334/62302,Equipamiento de instrumentos musicales,1.0,334,6,0.0,900.0,900.0,899.02
1.0,334,62600,334/62600,Inversiones en Programas Informáticos. Archivo Pres Partic.,1.0,334,6,0.0,14598.65,14598.65,14598.65
1.0,337,21200,337/21200,Reparacion Plaza de Toros,1.0,337,2,10000.0,-9000.0,1000.0,0.0
1.0,337,21300,337/21300,Reparacion maquinaria e instalac. Plaza de Toros,1.0,337,2,48000.0,-41880.0,6120.0,1440.62
1.0,337,21300,337/21300,Reparacion maquinaria e instalac. Plaza de Toros,1.0,337,2,0.0,4412.25,4412.25,4412.25
1.0,337,22100,337/22100,Suministro energia Plaza de Toros,1.0,337,2,21000.0,0.0,21000.0,15079.99
1.0,337,22101,337/22101,Suministro de  Agua Plaza de Toros,1.0,337,2,3000.0,0.0,3000.0,1558.95
1.0,337,22103,337/22103,REMSuministro combustibles Plaza de Toros,1.0,337,2,0.0,62.85,62.85,0.0
1.0,337,22103,337/22103,Suministro combustibles Plaza de Toros,1.0,337,2,1500.0,0.0,1500.0,226.72
1.0,337,22110,337/22110,Suministros de Productos de Limpieza y Aseo,1.0,337,2,500.0,0.0,500.0,0.0
1.0,337,22199,337/22199,Suministros  Varios Plaza de Toros,1.0,337,2,1000.0,0.0,1000.0,0.0
1.0,337,22200,337/22200,Comunicaciones telefónicas Cultura,1.0,337,2,500.0,0.0,500.0,55.72
1.0,337,22700,337/22700,Contrato de Servicio de Limpieza  Plaza de Toros,1.0,337,2,6500.0,0.0,6500.0,1508.87
1.0,338,22608,338/22608,Festejos populares de Septiembre,1.0,338,2,250000.0,6461.0,256461.0,152151.38
1.0,338,22608,338/22608,Festejos populares de Septiembre,1.0,338,2,0.0,18901.87,18901.87,18274.0
1.0,339,10000,339/10000,Retribuciones Altos Cargos,1.0,339,1,0.0,9562.7,9562.7,4187.12
1.0,339,13100,339/13100,Retribuciones Personal  temporal Juventud,1.0,339,1,76750.0,2343.5,79093.5,56314.35
1.0,339,16000,339/16000,Seguridad Social,1.0,339,1,23850.0,4186.66,28036.66,20200.52
1.0,339,21200,339/21200,Reparación y Mantenimiento Edificios Juventud,1.0,339,2,1500.0,0.0,1500.0,508.2
1.0,339,21300,339/21300,"Reparación Maquinaria, Instalaciones y Utillaje",1.0,339,2,3500.0,0.0,3500.0,19.35
1.0,339,22100,339/22100,Energía Eléctrica,1.0,339,2,3500.0,0.0,3500.0,2526.35
1.0,339,22101,339/22101,Sumnistro agua Centro de Juventud,1.0,339,2,0.0,127.26,127.26,0.0
1.0,339,22101,339/22101,Sumnistro agua,1.0,339,2,0.0,0.0,0.0,0.0
1.0,339,22104,339/22104,Vestuario de Juventud,1.0,339,2,200.0,0.0,200.0,0.0
1.0,339,22199,339/22199,Suministros Varios Area de Juventud,1.0,339,2,2900.0,0.0,2900.0,125.8
1.0,339,22200,339/22200,Comunicaciones telefónicas Policia Local,1.0,339,2,2000.0,0.0,2000.0,741.02
1.0,339,22400,339/22400,Primas Seguros Juventud,1.0,339,2,300.0,0.0,300.0,0.0
1.0,339,22606,339/22606,Actividades Juveniles  y Recreativas Peñas 2019,1.0,339,2,0.0,23880.0,23880.0,0.0
1.0,339,22609,339/22609,REMActividades Juveniles  y Recreativas,1.0,339,2,0.0,8588.0,8588.0,5629.2
1.0,339,22609,339/22609,Actividades Juveniles  y Recreativas,1.0,339,2,59000.0,19876.44,78876.44,60492.49
1.0,339,22700,339/22700,Contratos de Limpieza edificios de   servicios juveniles,1.0,339,2,0.0,0.0,0.0,1778.46
1.0,339,22701,339/22701,Servicios Seguridad   Area de Juventud,1.0,339,2,500.0,0.0,500.0,91.2
1.0,339,22706,339/22706,Contrato de Servicios Juveniles,1.0,339,2,15000.0,-3417.5,11582.5,24.16
1.0,339,23120,339/23120,Gastos Locomocion Area de Juventud,1.0,339,2,500.0,0.0,500.0,0.0
1.0,339,62200,339/62200,PIRInversiones Reposición Centro Juvenil,1.0,339,6,0.0,35000.38,35000.38,0.0
1.0,340,10000,340/10000,Retribuciones Altos Cargos,1.0,340,1,0.0,10500.0,10500.0,4500.01
1.0,340,12000,340/12000,Retribuciones Basicas Funcionarios,1.0,340,1,11000.0,0.0,11000.0,0.0
1.0,340,12004,340/12004,Retribuciones Basicas Funcionarios Sueldo Grupo C2,1.0,340,1,0.0,0.0,0.0,7543.8
1.0,340,12006,340/12006,Retribuciones Basicas Funcionarios Trienios,1.0,340,1,0.0,0.0,0.0,656.24
1.0,340,12100,340/12100,Retribuciones Complementarias Funcionarios de Carr (Destino),1.0,340,1,17000.0,0.0,17000.0,4670.25
1.0,340,12101,340/12101,Retribuciones Complementarias Funcionarios (Especifico),1.0,340,1,0.0,0.0,0.0,7295.74
1.0,340,13000,340/13000,Retribuciones Personal Laboral Fijo,1.0,340,1,140000.0,-6000.0,134000.0,46016.04
1.0,340,13100,340/13100,Retribuciones Personal Laboral Temporal,1.0,340,1,20000.0,0.0,20000.0,111482.67
1.0,340,13101,340/13101,Retribuciones Personal Monitor,1.0,340,1,85000.0,-18600.0,66400.0,0.0
1.0,340,16000,340/16000,Seguridad Social,1.0,340,1,53500.0,3417.75,56917.75,41759.61
1.0,340,16001,340/16001,Seg.Soc.Monitores Actividades,1.0,340,1,28000.0,-2200.0,25800.0,16090.24
1.0,340,21200,340/21200,Mantenimiento de Polideportivo Municipal,1.0,340,2,10000.0,0.0,10000.0,9107.76
1.0,340,21300,340/21300,Mantenimiento y Reparaciçon Instalaciones,1.0,340,2,0.0,400.26,400.26,381.45
1.0,340,21300,340/21300,Mantenimiento y Reparaciçon Instalaciones,1.0,340,2,46000.0,0.0,46000.0,11738.09
1.0,340,21400,340/21400,Mantenimiento y Reparaciçon Vehiculos,1.0,340,2,0.0,0.0,0.0,0.0
1.0,340,21601,340/21601,Mantenimiento de  Programas Informaticos,1.0,340,2,0.0,0.0,0.0,1089.0
1.0,340,22000,340/22000,Material oficina no inventariable,1.0,340,2,3000.0,0.0,3000.0,545.45
1.0,340,22100,340/22100,Suministro de Energia Electrica,1.0,340,2,30000.0,0.0,30000.0,9561.33
1.0,340,22101,340/22101,Sumnistro agua,1.0,340,2,2000.0,0.0,2000.0,396.15
1.0,340,22103,340/22103,Combustible instalaciones deportivas,1.0,340,2,0.0,2322.18,2322.18,2322.18
1.0,340,22103,340/22103,Combustible instalaciones deportivas,1.0,340,2,24000.0,0.0,24000.0,10517.99
1.0,340,22104,340/22104,Vestuario Deportes,1.0,340,2,3000.0,0.0,3000.0,451.95
1.0,340,22110,340/22110,Productos de limpieza y aseo,1.0,340,2,1500.0,0.0,1500.0,150.4
1.0,340,22113,340/22113,Suministro material deportivo,1.0,340,2,15000.0,0.0,15000.0,2163.83
1.0,340,22199,340/22199,Otros suministros,1.0,340,2,0.0,132.0,132.0,66.0
1.0,340,22199,340/22199,Otros suministros,1.0,340,2,2500.0,0.0,2500.0,1384.94
1.0,340,22200,340/22200,REMComunicaciones Telefónicas,1.0,340,2,0.0,328.35,328.35,0.0
1.0,340,22200,340/22200,Comunicaciones Telefónicas,1.0,340,2,2700.0,0.0,2700.0,1182.3
1.0,340,22300,340/22300,Alquiler trasportes actividadaes,1.0,340,2,27500.0,0.0,27500.0,18015.33
1.0,340,22400,340/22400,Seguros,1.0,340,2,7000.0,0.0,7000.0,3906.14
1.0,340,22609,340/22609,REM Actividades y concentraciones deportivas,1.0,340,2,0.0,4521.74,4521.74,4156.08
1.0,340,22609,340/22609,Actividades y concentraciones deportivas,1.0,340,2,65000.0,0.0,65000.0,51391.07
1.0,340,22700,340/22700,Servicios limpieza  Deportes,1.0,340,2,55000.0,0.0,55000.0,38705.66
1.0,340,22701,340/22701,Contratos de Seguridada Deportes,1.0,340,2,0.0,0.0,0.0,162.26
1.0,340,22706,340/22706,Contrato gestion serv. deportivos,1.0,340,2,240000.0,10000.0,250000.0,189808.44
1.0,340,22706,340/22706,Contrato gestion serv. deportivos,1.0,340,2,0.0,5474.4,5474.4,0.0
1.0,340,23020,340/23020,Dietas personal,1.0,340,2,500.0,0.0,500.0,0.0
1.0,340,23120,340/23120,Gastos Locomocion Personal,1.0,340,2,0.0,0.0,0.0,1396.35
1.0,340,46600,340/46600,Agrupacion Deportiva de la Sierra,1.0,340,4,12500.0,0.0,12500.0,13844.75
1.0,340,48900,340/48900,Subvenciones,1.0,340,4,15000.0,0.0,15000.0,6000.0
1.0,340,48900,340/48900,Subvenciones,1.0,340,4,0.0,2000.0,2000.0,0.0
1.0,340,62200,340/62200,PIR Inversiones en Edificios Deportivos Pistas de Atletismo,1.0,340,6,0.0,67526.88,67526.88,0.0
1.0,340,62200,340/62200,REMPIR  Inversiones en Edificios Deportivos,1.0,340,6,0.0,6146.48,6146.48,3444.39
1.0,340,62201,340/62201,PIR Inversiones en Edificios Deportivos Pistas de Skate,1.0,340,6,0.0,184959.6,184959.6,0.0
1.0,340,62201,340/62201,REM Inversiones en reposicion de Polideportivo Perimetro.,1.0,340,6,0.0,31350.55,31350.55,31317.23
1.0,340,62202,340/62202,PIR Inversiones en Edificios Deportivos Pistas de Tenis,1.0,340,6,0.0,58603.19,58603.19,0.0
1.0,340,62300,340/62300,REM PIR- Instalaciones Edificios Deportivos,1.0,340,6,0.0,610731.82,610731.82,293007.97
1.0,340,62301,340/62301,Equipamiento de Material Deportes Porterias Canastas etc,1.0,340,6,0.0,34642.74,34642.74,3065.73
1.0,343,21200,343/21200,Mantenimiento Piscina,1.0,343,2,2000.0,26700.0,28700.0,13251.89
1.0,343,21300,343/21300,Reparacion maquinaris y utillaje,1.0,343,2,0.0,322.82,322.82,322.82
1.0,343,21300,343/21300,Reparacion maquinaris y utillaje,1.0,343,2,45000.0,-9195.88,35804.12,41789.05
1.0,343,22100,343/22100,Suministro electrico,1.0,343,2,74000.0,2000.0,76000.0,53787.07
1.0,343,22101,343/22101,Suministro agua y bromo,1.0,343,2,10000.0,0.0,10000.0,2849.42
1.0,343,22103,343/22103,Combustible instalaciones pisicna,1.0,343,2,0.0,20241.99,20241.99,20241.99
1.0,343,22103,343/22103,Combustible instalaciones pisicna,1.0,343,2,95000.0,0.0,95000.0,61485.32
1.0,343,22199,343/22199,Otros suministros,1.0,343,2,1000.0,0.0,1000.0,193.6
1.0,343,22400,343/22400,Seguros,1.0,343,2,1400.0,0.0,1400.0,0.0
1.0,343,22700,343/22700,Servicio de limpieza instalaciones piscina,1.0,343,2,102000.0,0.0,102000.0,69085.55
1.0,343,22701,343/22701,Contratos de Seguridad Piscina,1.0,343,2,0.0,0.0,0.0,162.26
1.0,343,22706,343/22706,Contrato monitores Piscina,1.0,343,2,140000.0,0.0,140000.0,26349.14
1.0,343,22708,343/22708,Contrato de mantenimiento piscina,1.0,343,2,35000.0,0.0,35000.0,25926.0
1.0,343,22708,343/22708,Contrato de mantenimiento piscina,1.0,343,2,0.0,5443.96,5443.96,0.0
1.0,343,22799,343/22799,Servicio Socorristas,1.0,343,2,0.0,0.0,0.0,45601.44
1.0,343,62200,343/62200,Inversiones en reposicion de Piscina Municipal,1.0,343,6,0.0,250000.0,250000.0,116461.03
